Concessionária ,Bairro,cep
Con142,Padre Eustaquio,30730-440
Con143,Savassi,30130-168
Con144,Cidade Nova,31170-340
Con145,Santa Lucia,30360-530
Con146,Primeiro de Maio,31810-350
Con147,Santa Monica,31525-160
Con148,Centro,30180-100
Con149,Bandeirantes Pampulha,31365-780
Con150,Pindorama,30865-490
Con151,Santa Tereza,31015-104
Con152,Carlos Prates,30710-020
Con153,Floresta,30110-008
Con154,CARLOS PRATES,30670-565
Con155,Coracao de Jesus,30380-640
Con156,Padre Eustaquio,30720-400
Con157,Juliana,31744-599
Con158,Luxemburgo,30380-420
Con159,Olhos D'Agua,30390-082
Con160,Lindeia,30690-010
Con161,Castelo,30840-372
Con162,Centro,30190-080
Con163,Mantiqueira,31655-050
Con164,California,30855-450
Con165,Jardim Guanabara,31742-248
Con166,Carlos Prates,30710-080
Con167,Jardim America,30421-476
Con168,Trevo,31370-670
Con169,Nova Vista,31070-080
Con170,Diamante Barreiro,30660-318
Con171,Santo Antonio,30350-060
Con172,Planalto,31730-768
Con173,Boa Vista,31060-250
Con174,Lindeia Barreiro,30690-010
Con175,Santa Terezinha,31360-040
Con176,Jardim America,30421-386
Con177,Copacabana,31550-430
Con178,Sao Bento,30350-563
Con179,Coracao Eucaristico,30535-610
Con180,Cenaculo,31615-460
Con181,Goiania,31960-315
Con182,Santa Rosa,31255-540
Con183,Santa Terezinha,31365-190
Con184,Coqueiros,30881-202
Con185,Concordia,31110-580
Con186,SAO FRANCISCO,31255-050
Con187,Tirol Barreiro,30662-140
Con188,Santa Monica,31525-100
Con189,CARMO,30310-000
Con190,Ribeiro de Abreu,31870-480
Con191,Alto Barroca,30430-490
Con192,Prado,30411-117
Con193,Piratininga Venda Nova,31573-140
Con194,Sao Geraldo,31050-570
Con195,Carmo,30330-000
Con196,Cachoeirinha,31130-100
Con197,Sagrada Familia,31030-211
Con198,Nova Cachoeirinha,31250-370
Con199,Milionarios Barreiro,30620-110
Con200,Guarani,31840-220
Con201,Savassi,30112-010
Con202,Salgado Filho,30550-140
Con203,Sao Francisco,31255-240
Con204,Vila Oeste,30532-065
Con205,Jardim Montanhes,30750-040
Con206,Jardim Montanhes,30750-040
Con207,ALTO DOS PINHEIROS,30530-100
Con208,Sion,30315-560
Con209,Centro,30180-110
Con210,Sagrada Familia,31030-220
Con211,Pilar,30390-000
Con212,Sagrada Familia,31030-470
Con213,Calafate,30411-535
Con214,Camargos,30520-410
Con215,Sao Geraldo,31050-530
Con216,Sao Bento,30350-530
Con217,Sao Bernardo,31741-430
Con218,Carlos Prates,30710-340
Con219,Padre Eustaquio,30730-130
Con220,Sao Paulo,31910-060
Con221,Sao Francisco,31255-200
Con222,Itapoa,31710-000
Con223,Ouro Preto,31320-390
Con224,Nova Cachoeirinha,31230-240
Con225,CASTELO,31330-330
Con226,Santa Lucia,30350-570
Con227,Santa Lucia,30360-670
Con228,Penha,31920-300
Con229,Mantiqueira,31655-090
Con230,Funcionarios,30110-035
Con231,Jaragua,31270-414
Con232,Cardoso Barreiro,30626-710
Con233,Tupi,31844-200
Con234,Camargos,30520-220
Con235,Nova Vista,31070-225
Con236,Bonsucesso Barreiro,30622-280
Con237,Minaslandia P Maio,31812-020
Con238,CORACAO EUCARISTICO,30535-580
Con239,Nossa Senhora da Conceicao,30220-431
Con240,Joao Paulo II Barreiro,30660-585
Con241,Palmeiras,30575-470
Con242,Centro,30170-130
Con243,Tirol Barreiro,30662-420
Con244,SION,30310-000
Con245,Pilar,30390-090
Con246,MinaslAndia P Maio,31812-020
Con247,Santa Margarida Barreiro,30640-230
Con248,Cachoeirinha,31130-082
Con249,Coracao de Jesus,30380-262
Con250,Copacabana,31540-550
Con251,Gloria,30870-240
Con252,Nova Gameleira,30510-180
Con253,Castelo,31330-430
